txn_id,customer_id,matter_id,matter_type,txn_date,txn_type,amount_aud,description,unrelated_third_party,counterparty_country
TXN-100055,CUST-10009,MTR-10009-8,Nominee Shareholder Arrangement,2025-03-31,Withdrawal,1634.03,Trust disbursement - settlement,False,Canada
TXN-101945,CUST-10329,MTR-10329-2,Residential Conveyancing,2025-03-31,Deposit,246540.04,Trust receipt - client funds,False,Germany
TXN-100375,CUST-10060,MTR-10060-7,Business Sale & Purchase,2025-03-31,Withdrawal,509858.01,Trust disbursement - settlement,False,Australia
TXN-102144,CUST-10361,MTR-10361-4,Estate Administration,2025-04-01,Withdrawal,8806.95,Trust disbursement - settlement,False,Australia
TXN-100508,CUST-10083,MTR-10083-8,Business Sale & Purchase,2025-04-03,Deposit,1186478.0,Trust receipt - client funds,False,Cambodia
TXN-101078,CUST-10174,MTR-10174-4,Nominee Shareholder Arrangement,2025-04-04,Deposit,5644.67,Trust receipt - client funds,False,United Arab Emirates
TXN-100617,CUST-10101,MTR-10101-9,Commercial Conveyancing,2025-04-05,Deposit,144108.68,Trust receipt - client funds,False,United Kingdom
TXN-102463,CUST-10416,MTR-10416-2,Commercial Conveyancing,2025-04-05,Deposit,394934.89,Trust receipt - client funds,False,Germany
TXN-101507,CUST-10251,MTR-10251-3,Company Formation,2025-04-06,Deposit,9657.04,Trust receipt - client funds,False,Singapore
TXN-100118,CUST-10020,MTR-10020-9,Commercial Conveyancing,2025-04-08,Deposit,149495.3,Trust receipt - client funds,False,New Zealand
TXN-101407,CUST-10231,MTR-10231-8,Company Formation,2025-04-08,Deposit,606.11,Trust receipt - client funds,False,Singapore
TXN-101870,CUST-10314,MTR-10314-9,Residential Conveyancing,2025-04-09,Deposit,418261.32,Trust receipt - client funds,False,New Zealand
TXN-102149,CUST-10362,MTR-10362-7,Business Sale & Purchase,2025-04-10,Withdrawal,40853.99,Trust disbursement - settlement,False,United Kingdom
TXN-100468,CUST-10078,MTR-10078-4,Nominee Director Arrangement,2025-04-10,Withdrawal,5624.73,Trust disbursement - settlement,False,Japan
TXN-101234,CUST-10203,MTR-10203-7,Estate Administration,2025-04-10,Withdrawal,14793.04,Trust disbursement - settlement,False,Japan
TXN-100623,CUST-10102,MTR-10102-1,Estate Administration,2025-04-12,Withdrawal,14092.65,Trust disbursement - settlement,False,New Zealand
TXN-102251,CUST-10378,MTR-10378-7,Commercial Conveyancing,2025-04-13,Deposit,2696911.12,Trust receipt - client funds,False,Germany
TXN-101703,CUST-10286,MTR-10286-8,Commercial Conveyancing,2025-04-13,Deposit,144713.26,Trust receipt - client funds,False,Canada
TXN-100539,CUST-10088,MTR-10088-3,Nominee Director Arrangement,2025-04-14,Deposit,4935.74,Trust receipt - client funds,False,Cambodia
TXN-102391,CUST-10404,MTR-10404-3,Nominee Shareholder Arrangement,2025-04-16,Withdrawal,6050.25,Trust disbursement - settlement,False,Germany
TXN-102152,CUST-10362,MTR-10362-7,Business Sale & Purchase,2025-04-16,Deposit,850494.65,Trust receipt - client funds,False,United Kingdom
TXN-102230,CUST-10374,MTR-10374-4,Commercial Conveyancing,2025-04-17,Deposit,146651.79,Trust receipt - client funds,False,Germany
TXN-100114,CUST-10019,MTR-10019-3,Nominee Shareholder Arrangement,2025-04-18,Deposit,1395.36,Trust receipt - client funds,False,United States
TXN-101141,CUST-10186,MTR-10186-1,Nominee Director Arrangement,2025-04-18,Deposit,857.67,Trust receipt - client funds,False,United Kingdom
TXN-100894,CUST-10147,MTR-10147-3,Nominee Shareholder Arrangement,2025-04-20,Deposit,2786.31,Trust receipt - client funds,False,Canada
TXN-100973,CUST-10159,MTR-10159-3,Residential Conveyancing,2025-04-21,Withdrawal,132011.58,Trust disbursement - settlement,False,New Zealand
TXN-100671,CUST-10111,MTR-10111-8,Nominee Director Arrangement,2025-04-21,Deposit,7359.71,Trust receipt - client funds,False,Japan
TXN-102119,CUST-10358,MTR-10358-9,Nominee Director Arrangement,2025-04-22,Deposit,6019.08,Trust receipt - client funds,False,New Zealand
TXN-100668,CUST-10111,MTR-10111-8,Nominee Director Arrangement,2025-04-23,Deposit,3527.69,Trust receipt - client funds,False,Japan
TXN-100629,CUST-10103,MTR-10103-4,Nominee Shareholder Arrangement,2025-04-24,Withdrawal,1398.77,Trust disbursement - settlement,False,Germany
TXN-102288,CUST-10387,MTR-10387-3,Commercial Conveyancing,2025-04-24,Withdrawal,1244144.22,Trust disbursement - settlement,False,Japan
TXN-101082,CUST-10175,MTR-10175-8,Company Formation,2025-04-26,Deposit,5671.3,Trust receipt - client funds,False,United States
TXN-101820,CUST-10305,MTR-10305-3,Company Formation,2025-04-26,Withdrawal,3894.53,Trust disbursement - settlement,False,United Kingdom
TXN-101818,CUST-10304,MTR-10304-6,Trust Establishment,2025-04-26,Deposit,36930.32,Trust receipt - client funds,False,Japan
TXN-100429,CUST-10072,MTR-10072-5,Nominee Shareholder Arrangement,2025-04-27,Deposit,1625.47,Trust receipt - client funds,False,United Kingdom
TXN-100885,CUST-10145,MTR-10145-3,Debt Financing Transaction,2025-04-27,Withdrawal,185488.68,Trust disbursement - settlement,False,Japan
TXN-101624,CUST-10272,MTR-10272-5,Residential Conveyancing,2025-04-28,Withdrawal,16933.11,Trust disbursement - settlement,False,Germany
TXN-101164,CUST-10190,MTR-10190-8,Trust Establishment,2025-04-28,Deposit,4497.53,Trust receipt - client funds,False,Singapore
TXN-100750,CUST-10124,MTR-10124-4,Estate Administration,2025-04-29,Deposit,74061.29,Trust receipt - client funds,False,Germany
TXN-101588,CUST-10267,MTR-10267-7,Company Formation,2025-04-30,Deposit,4171.71,Trust receipt - client funds,False,Germany
TXN-101512,CUST-10251,MTR-10251-3,Company Formation,2025-04-30,Deposit,744.89,Trust receipt - client funds,False,Singapore
TXN-102305,CUST-10389,MTR-10389-2,Nominee Director Arrangement,2025-05-02,Deposit,1905.81,Trust receipt - client funds,False,New Zealand
TXN-102037,CUST-10343,MTR-10343-6,Nominee Shareholder Arrangement,2025-05-05,Deposit,2454.56,Trust receipt - client funds,False,New Zealand
TXN-100694,CUST-10113,MTR-10113-5,Trust Establishment,2025-05-05,Withdrawal,5234.0,Trust disbursement - settlement,False,United Kingdom
TXN-101941,CUST-10329,MTR-10329-2,Residential Conveyancing,2025-05-05,Deposit,25683.36,Trust receipt - client funds,False,Germany
TXN-100239,CUST-10038,MTR-10038-6,Trust Establishment,2025-05-06,Deposit,4009.75,Trust receipt - client funds,False,New Zealand
TXN-100535,CUST-10087,MTR-10087-9,Trust Establishment,2025-05-07,Withdrawal,18946.3,Trust disbursement - settlement,False,Germany
TXN-101708,CUST-10287,MTR-10287-4,Nominee Shareholder Arrangement,2025-05-08,Deposit,808.87,Trust receipt - client funds,False,Yemen
TXN-102290,CUST-10387,MTR-10387-3,Commercial Conveyancing,2025-05-08,Deposit,381940.0,Trust receipt - client funds,False,Japan
TXN-100412,CUST-10069,MTR-10069-1,Residential Conveyancing,2025-05-08,Withdrawal,22410.14,Trust disbursement - settlement,False,Cambodia
TXN-100895,CUST-10147,MTR-10147-3,Nominee Shareholder Arrangement,2025-05-08,Deposit,1339.76,Trust receipt - client funds,False,Canada
TXN-100618,CUST-10102,MTR-10102-1,Estate Administration,2025-05-11,Withdrawal,209394.85,Trust disbursement - settlement,False,New Zealand
TXN-101212,CUST-10198,MTR-10198-8,Commercial Conveyancing,2025-05-12,Deposit,1266089.96,Trust receipt - client funds,False,Democratic Republic of Congo
TXN-102018,CUST-10340,MTR-10340-4,Nominee Shareholder Arrangement,2025-05-13,Withdrawal,571.75,Trust disbursement - settlement,False,Australia
TXN-100115,CUST-10020,MTR-10020-9,Commercial Conveyancing,2025-05-14,Deposit,331161.35,Trust receipt - client funds,False,New Zealand
TXN-101308,CUST-10216,MTR-10216-1,Estate Administration,2025-05-15,Deposit,94057.05,Trust receipt - client funds,False,Japan
TXN-100538,CUST-10087,MTR-10087-9,Trust Establishment,2025-05-16,Deposit,24516.44,Trust receipt - client funds,False,Germany
TXN-100272,CUST-10042,MTR-10042-4,Company Formation,2025-05-17,Withdrawal,4311.02,Trust disbursement - settlement,False,New Zealand
TXN-101205,CUST-10197,MTR-10197-2,Nominee Shareholder Arrangement,2025-05-17,Withdrawal,3619.55,Trust disbursement - settlement,False,Germany
TXN-101946,CUST-10329,MTR-10329-2,Residential Conveyancing,2025-05-17,Withdrawal,253800.68,Trust disbursement - settlement,False,Germany
TXN-100909,CUST-10148,MTR-10148-4,Debt Financing Transaction,2025-05-18,Deposit,253626.84,Trust receipt - client funds,False,United Kingdom
TXN-100883,CUST-10144,MTR-10144-6,Nominee Shareholder Arrangement,2025-05-18,Withdrawal,7820.39,Trust disbursement - settlement,False,Yemen
TXN-100453,CUST-10076,MTR-10076-3,Debt Financing Transaction,2025-05-19,Deposit,131562.69,Trust receipt - client funds,False,Australia
TXN-101018,CUST-10165,MTR-10165-3,Nominee Director Arrangement,2025-05-20,Deposit,1161.34,Trust receipt - client funds,False,Canada
TXN-100540,CUST-10088,MTR-10088-3,Nominee Director Arrangement,2025-05-21,Withdrawal,714.73,Trust disbursement - settlement,False,Cambodia
TXN-102082,CUST-10351,MTR-10351-3,Estate Administration,2025-05-22,Deposit,109170.96,Trust receipt - client funds,False,Japan
TXN-100215,CUST-10034,MTR-10034-9,Debt Financing Transaction,2025-05-22,Deposit,77135.47,Trust receipt - client funds,False,New Zealand
TXN-101033,CUST-10167,MTR-10167-4,Company Formation,2025-05-22,Deposit,8396.27,Trust receipt - client funds,False,Panama
TXN-102023,CUST-10341,MTR-10341-3,Debt Financing Transaction,2025-05-22,Deposit,98876.3,Trust receipt - client funds,False,Australia
TXN-102142,CUST-10360,MTR-10360-5,Commercial Conveyancing,2025-05-22,Withdrawal,1813976.82,Trust disbursement - settlement,False,Canada
TXN-101432,CUST-10236,MTR-10236-1,Company Formation,2025-05-23,Withdrawal,6122.4,Trust disbursement - settlement,False,Cambodia
TXN-102092,CUST-10353,MTR-10353-4,Residential Conveyancing,2025-05-23,Withdrawal,15396.62,Trust disbursement - settlement,False,Germany
TXN-100387,CUST-10062,MTR-10062-9,Company Formation,2025-05-24,Deposit,910.99,Trust receipt - client funds,False,Canada
TXN-101533,CUST-10255,MTR-10255-5,Trust Establishment,2025-05-24,Withdrawal,4948.21,Trust disbursement - settlement,False,Democratic People's Republic of Korea
TXN-100196,CUST-10031,MTR-10031-7,Commercial Conveyancing,2025-05-25,Withdrawal,98924.21,Trust disbursement - settlement,False,Democratic People's Republic of Korea
TXN-102355,CUST-10397,MTR-10397-7,Debt Financing Transaction,2025-05-25,Deposit,52263.63,Trust receipt - client funds,False,Canada
